blog_code,segment,impressions,clicks,ctr
1925,passing,908,4,0.004405
1940,passing,517,0,0.000000
1944,hidden,26,0,0.000000
1946,passing,114,0,0.000000
1951,passing,817,0,0.000000
1952,passing,683,0,0.000000
1962,passing,251,0,0.000000
1970,(unmatched),18,0,0.000000
1972,(unmatched),21,0,0.000000
1973,hidden,4,0,0.000000
1983,hidden,7,0,0.000000
1984,low,85,0,0.000000
1988,low,4,0,0.000000
1993,low,93,0,0.000000
2001,(unmatched),4,0,0.000000
2002,passing,1427,0,0.000000
2014,hidden,33,0,0.000000
2020,low,120,0,0.000000
2021,(unmatched),4,0,0.000000
2030,passing,2156,0,0.000000
2032,hidden,4,0,0.000000
2041,passing,682,8,0.011730
2043,passing,1328,0,0.000000
2044,low,50,0,0.000000
2049,(unmatched),75,0,0.000000
2052,passing,118,0,0.000000
2059,hidden,4,0,0.000000
2071,low,88,0,0.000000
2075,(unmatched),131,0,0.000000
2077,passing,1058,0,0.000000
2082,hidden,7,0,0.000000
2091,passing,93,0,0.000000
2103,passing,238,0,0.000000
2110,(unmatched),18,0,0.000000
2120,(unmatched),40,0,0.000000
2132,hidden,42,0,0.000000
2133,low,8,0,0.000000
2145,hidden,29,0,0.000000
2163,(unmatched),11,0,0.000000
2166,passing,865,0,0.000000
2175,killer,95,0,0.000000
2177,(unmatched),22,0,0.000000
2178,hidden,4,0,0.000000
2186,hidden,71,0,0.000000
2207,low,42,0,0.000000
2211,passing,87,0,0.000000
2225,hidden,96,0,0.000000
2230,hidden,87,0,0.000000
2231,passing,18,0,0.000000
2234,low,47,0,0.000000
2237,low,199,0,0.000000
2238,low,21,0,0.000000
2245,passing,215,0,0.000000
2257,low,65,0,0.000000
2263,hidden,4,0,0.000000
2268,passing,4,0,0.000000
2275,hidden,4,0,0.000000
2276,low,159,0,0.000000
2291,hidden,4,0,0.000000
2293,low,22,0,0.000000
2294,(unmatched),71,0,0.000000
2302,passing,177,0,0.000000
2304,low,212,0,0.000000
2309,passing,440,0,0.000000
2318,hidden,4,0,0.000000
2319,passing,284,0,0.000000
2323,low,18,0,0.000000
2328,passing,44,0,0.000000
2333,passing,204,4,0.019608
2348,hidden,60,0,0.000000
2351,passing,1977,4,0.002023
2353,(unmatched),417,19,0.045564
2354,hidden,11,0,0.000000
2360,passing,246,0,0.000000
2361,hidden,46,0,0.000000
2370,hidden,44,0,0.000000
2371,low,47,0,0.000000
2377,(unmatched),11,0,0.000000
2380,(unmatched),11,0,0.000000
2381,hidden,74,0,0.000000
2384,passing,555,4,0.007207
2393,passing,106,0,0.000000
2398,passing,463,0,0.000000
2404,passing,19,0,0.000000
2412,passing,903,0,0.000000
2418,killer,440,0,0.000000
2419,hidden,18,0,0.000000
2428,(unmatched),25,0,0.000000
2429,hidden,96,0,0.000000
2440,hidden,18,0,0.000000
2445,passing,375,0,0.000000
2446,passing,178,0,0.000000
2452,low,202,0,0.000000
2455,hidden,131,0,0.000000
2462,passing,159,0,0.000000
2463,hidden,11,0,0.000000
2464,killer,55,0,0.000000
2468,passing,81,0,0.000000
2476,passing,152,0,0.000000
2477,hidden,7,0,0.000000
2487,passing,1963,0,0.000000
2492,passing,141,0,0.000000
2505,(unmatched),238,0,0.000000
2513,low,39,0,0.000000
2514,passing,497,0,0.000000
2521,killer,8,0,0.000000
2527,passing,1212,4,0.003300
2528,killer,492,0,0.000000
2532,killer,167,0,0.000000
2544,passing,98,0,0.000000
2551,passing,471,4,0.008493
2552,hidden,55,0,0.000000
2559,passing,14,0,0.000000
2561,passing,1370,0,0.000000
2562,passing,193,0,0.000000
2563,killer,460,0,0.000000
2568,killer,784,0,0.000000
2570,(unmatched),7,0,0.000000
2583,killer,24,0,0.000000
2587,passing,88,0,0.000000
2596,(unmatched),47,0,0.000000
2599,low,4,0,0.000000
2600,passing,481,0,0.000000
2602,passing,383,0,0.000000
2607,passing,577,0,0.000000
2609,hidden,7,0,0.000000
2610,(unmatched),12,0,0.000000
2612,killer,200,0,0.000000
2622,(unmatched),22,0,0.000000
2626,killer,15,0,0.000000
2627,killer,555,0,0.000000
2654,(unmatched),84,0,0.000000
2655,killer,50,0,0.000000
2657,passing,523,4,0.007648
2663,(unmatched),294,0,0.000000
2664,(unmatched),14,0,0.000000
2669,killer,22,0,0.000000
2675,(unmatched),11,0,0.000000
2684,killer,61,0,0.000000
2688,(unmatched),309,0,0.000000
2690,(unmatched),193,0,0.000000
2692,passing,379,4,0.010554
2695,passing,294,0,0.000000
2746,killer,94,0,0.000000
2784,passing,54,0,0.000000
2799,passing,162,0,0.000000
2801,killer,228,0,0.000000
2809,(unmatched),119,0,0.000000
2829,passing,293,0,0.000000
2834,hidden,11,0,0.000000
2836,(unmatched),77,0,0.000000
2846,hidden,72,0,0.000000
2847,passing,1794,12,0.006689
2849,passing,947,0,0.000000
2851,(unmatched),11,0,0.000000
2872,killer,139,0,0.000000
2875,killer,12,0,0.000000
2884,(unmatched),366,0,0.000000
2885,low,25,0,0.000000
2886,killer,4,0,0.000000
2887,low,18,0,0.000000
2901,passing,1465,57,0.038908
2914,passing,307,0,0.000000
2915,passing,21,0,0.000000
2945,killer,145,0,0.000000
2951,(unmatched),22,0,0.000000
2952,hidden,99,0,0.000000
2961,hidden,35,0,0.000000
2963,(unmatched),303,0,0.000000
2964,(unmatched),14,0,0.000000
2969,killer,166,0,0.000000
2985,killer,40,0,0.000000
2995,killer,154,0,0.000000
3001,passing,2787,12,0.004306
3003,(unmatched),104,0,0.000000
3048,passing,457,0,0.000000
3059,passing,1169,0,0.000000
3063,hidden,25,0,0.000000
3094,killer,169,0,0.000000
3098,(unmatched),380,0,0.000000
3106,killer,1829,0,0.000000
3116,hidden,131,0,0.000000
3117,passing,56,0,0.000000
3119,(unmatched),74,0,0.000000
3161,(unmatched),4,0,0.000000
3165,passing,4166,0,0.000000
3173,killer,649,0,0.000000
3174,(unmatched),215,0,0.000000
3183,passing,37,0,0.000000
3196,passing,530,0,0.000000
3308,hidden,18,0,0.000000
3310,passing,997,0,0.000000
3316,hidden,21,0,0.000000
3369,hidden,46,0,0.000000
3401,killer,886,0,0.000000
3406,killer,51,0,0.000000
3411,hidden,8,0,0.000000
3452,passing,914,4,0.004376
3462,killer,49,0,0.000000
3467,hidden,4,0,0.000000
3490,killer,150,4,0.026667
3502,passing,456,0,0.000000
3540,hidden,29,0,0.000000
3561,killer,526,4,0.007605
3562,hidden,15,0,0.000000
3582,hidden,4,0,0.000000
3591,killer,425,4,0.009412
3592,killer,310,0,0.000000
3600,hidden,258,0,0.000000
3601,hidden,39,7,0.179487
3604,(unmatched),7,0,0.000000
3613,passing,1630,4,0.002454
3625,passing,2524,0,0.000000
3626,killer,196,0,0.000000
3637,(unmatched),4,0,0.000000
3643,passing,241,0,0.000000
3676,(unmatched),32,4,0.125000
3686,killer,22,0,0.000000
3709,passing,445,0,0.000000
3719,hidden,4,0,0.000000
3721,hidden,53,0,0.000000
3725,passing,198,0,0.000000
3759,killer,510,4,0.007843
3764,hidden,102,0,0.000000
3768,passing,601,0,0.000000
3774,hidden,22,0,0.000000
3778,killer,34,0,0.000000
3781,killer,669,11,0.016442
3782,passing,176,0,0.000000
3807,hidden,21,0,0.000000
3818,low,71,0,0.000000
3821,(unmatched),29,0,0.000000
3829,killer,450,0,0.000000
3832,passing,691,0,0.000000
3848,(unmatched),21,0,0.000000
3849,killer,95,0,0.000000
3851,hidden,148,0,0.000000
3899,(unmatched),333,0,0.000000
3904,passing,594,0,0.000000
3908,(unmatched),154,0,0.000000
3909,hidden,85,0,0.000000
3938,low,205,0,0.000000
3951,killer,618,0,0.000000
3960,low,35,0,0.000000
3966,(unmatched),21,0,0.000000
4001,killer,297,0,0.000000
4005,hidden,47,0,0.000000
4024,(unmatched),89,0,0.000000
4027,killer,669,0,0.000000
4030,killer,15,0,0.000000
4047,(unmatched),16,0,0.000000
4101,hidden,25,0,0.000000
4124,killer,47,0,0.000000
4126,passing,213,0,0.000000
4145,killer,218,0,0.000000
4155,killer,78,0,0.000000
4156,hidden,219,0,0.000000
4174,passing,41,0,0.000000
4198,low,4,0,0.000000
4199,passing,854,4,0.004684
4202,low,4,0,0.000000
4211,(unmatched),61,0,0.000000
4217,killer,118,0,0.000000
4218,low,48,0,0.000000
4221,low,11,0,0.000000
4223,low,57,0,0.000000
4232,passing,564,11,0.019504
4233,passing,72,0,0.000000
4238,passing,151,0,0.000000
4239,(unmatched),160,0,0.000000
4245,low,28,0,0.000000
4248,passing,64,0,0.000000
4249,(unmatched),322,0,0.000000
4251,passing,278,0,0.000000
4256,passing,109,0,0.000000
4258,(unmatched),85,0,0.000000
4259,low,11,0,0.000000
4264,passing,246,0,0.000000
4265,killer,174,0,0.000000
4267,low,146,0,0.000000
4269,low,151,0,0.000000
4271,low,4,0,0.000000
4274,low,68,0,0.000000
4275,passing,35,0,0.000000
4278,passing,183,0,0.000000
4283,passing,51,0,0.000000
4288,(unmatched),33,0,0.000000
4290,passing,932,22,0.023605
4295,(unmatched),347,0,0.000000
4300,(unmatched),22,0,0.000000
4302,passing,58,0,0.000000
4304,passing,55,0,0.000000
4305,low,21,0,0.000000
4308,passing,136,0,0.000000
4310,passing,187,0,0.000000
4312,(unmatched),4,0,0.000000
4313,hidden,7,0,0.000000
4316,low,61,0,0.000000
4317,hidden,11,0,0.000000
4318,passing,693,4,0.005772
4319,hidden,11,0,0.000000
4324,low,46,0,0.000000
4325,low,82,0,0.000000
4328,hidden,129,0,0.000000
4345,low,26,0,0.000000
4346,passing,147,0,0.000000
4347,passing,45,0,0.000000
4348,low,100,0,0.000000
4350,low,40,4,0.100000
4351,passing,1412,0,0.000000
4352,hidden,159,0,0.000000
4353,low,7,0,0.000000
4356,hidden,75,0,0.000000
4357,low,28,0,0.000000
4358,hidden,22,0,0.000000
4362,low,4,0,0.000000
4368,(unmatched),7,0,0.000000
4369,low,21,0,0.000000
4370,killer,11,0,0.000000
4374,low,11,0,0.000000
4377,low,47,0,0.000000
4378,hidden,4,0,0.000000
4381,hidden,46,0,0.000000
4382,passing,77,0,0.000000
4383,low,143,0,0.000000
4386,low,7,0,0.000000
4391,passing,217,0,0.000000
4395,passing,91,0,0.000000
4396,passing,422,0,0.000000
4402,passing,133,0,0.000000
4405,hidden,12,0,0.000000
4410,low,7,0,0.000000
4411,low,11,0,0.000000
4414,killer,85,0,0.000000
4415,passing,50,0,0.000000
4419,passing,167,0,0.000000
4423,low,4,0,0.000000
4424,killer,33,0,0.000000
4425,hidden,86,0,0.000000
4427,low,32,0,0.000000
4428,(unmatched),142,7,0.049296
4429,(unmatched),1357,4,0.002948
4431,hidden,11,0,0.000000
4432,low,122,0,0.000000
4433,low,11,0,0.000000
4434,hidden,7,0,0.000000
4436,low,8,0,0.000000
4437,passing,582,0,0.000000
4444,passing,847,0,0.000000
4445,passing,129,0,0.000000
4451,low,43,0,0.000000
4452,passing,21,0,0.000000
4453,low,33,0,0.000000
4457,passing,829,8,0.009650
4460,passing,199,0,0.000000
4463,low,160,0,0.000000
4467,hidden,46,0,0.000000
4468,passing,1985,11,0.005542
4474,(unmatched),18,0,0.000000
4477,(unmatched),1358,4,0.002946
4478,passing,4,0,0.000000
4480,passing,754,18,0.023873
4481,passing,410,0,0.000000
4492,low,4,0,0.000000
4499,low,32,0,0.000000
4501,(unmatched),113,0,0.000000
4503,killer,220,0,0.000000
4506,passing,213,4,0.018779
4508,(unmatched),178,0,0.000000
4510,passing,185,0,0.000000
4511,passing,393,4,0.010178
4513,low,12,0,0.000000
4514,passing,313,0,0.000000
4515,passing,178,4,0.022472
4516,(unmatched),11,0,0.000000
4519,low,4,0,0.000000
4524,passing,53,0,0.000000
4527,passing,273,0,0.000000
4530,low,11,0,0.000000
4533,passing,362,0,0.000000
4537,passing,29,0,0.000000
4539,hidden,7,0,0.000000
4541,low,8,0,0.000000
4545,low,4,0,0.000000
4546,(unmatched),509,0,0.000000
4547,low,28,0,0.000000
4548,passing,56,0,0.000000
4549,low,39,0,0.000000
4550,killer,132,0,0.000000
4551,passing,31,0,0.000000
4552,passing,167,0,0.000000
4558,passing,2726,0,0.000000
4559,killer,67,0,0.000000
4560,killer,138,0,0.000000
4561,killer,72,0,0.000000
4562,(unmatched),112,0,0.000000
4566,low,99,0,0.000000
4568,passing,4,0,0.000000
4569,killer,255,0,0.000000
4570,passing,1592,0,0.000000
4571,low,8,0,0.000000
4572,passing,1956,4,0.002045
4575,killer,22,0,0.000000
4576,passing,268,0,0.000000
4577,passing,150,0,0.000000
4579,low,8,0,0.000000
4580,low,11,0,0.000000
4581,hidden,11,0,0.000000
4584,low,48,0,0.000000
4587,low,30,0,0.000000
4588,hidden,18,0,0.000000
4589,passing,810,0,0.000000
4591,(unmatched),8,0,0.000000
4592,low,4,0,0.000000
4593,low,20,0,0.000000
4594,killer,138,0,0.000000
4595,passing,4,0,0.000000
4602,(unmatched),4,0,0.000000
4603,passing,337,0,0.000000
4606,killer,89,0,0.000000
4610,low,156,4,0.025641
4611,low,26,0,0.000000
4613,hidden,54,0,0.000000
4614,killer,51,0,0.000000
4616,passing,673,0,0.000000
4620,(unmatched),704,4,0.005682
4621,low,46,0,0.000000
4626,hidden,4,0,0.000000
4629,passing,59,0,0.000000
4631,low,15,0,0.000000
4635,passing,125,0,0.000000
4639,(unmatched),27,0,0.000000
4641,killer,33,0,0.000000
4642,low,11,0,0.000000
4645,passing,47,0,0.000000
4647,killer,478,7,0.014644
4654,hidden,11,0,0.000000
4655,low,7,0,0.000000
4656,hidden,14,0,0.000000
4658,passing,653,0,0.000000
4659,killer,179,0,0.000000
4661,killer,4,0,0.000000
4667,passing,46,0,0.000000
4668,low,12,0,0.000000
4670,(unmatched),7,0,0.000000
4672,low,60,0,0.000000
4674,(unmatched),195,0,0.000000
4683,passing,281,0,0.000000
4684,low,18,0,0.000000
4686,passing,830,4,0.004819
4688,(unmatched),22,0,0.000000
4689,passing,1665,4,0.002402
4694,low,11,0,0.000000
4697,low,8,0,0.000000
4698,passing,90,0,0.000000
4700,(unmatched),291,0,0.000000
4702,killer,101,0,0.000000
4703,passing,50,0,0.000000
4710,killer,376,0,0.000000
4713,(unmatched),111,0,0.000000
4716,passing,160,0,0.000000
4722,low,21,0,0.000000
4723,passing,5779,8,0.001384
4728,passing,1005,15,0.014925
4731,passing,45,0,0.000000
4736,passing,80,0,0.000000
4739,low,86,0,0.000000
4740,low,29,0,0.000000
4741,passing,85,0,0.000000
4746,killer,82,0,0.000000
4749,killer,76,0,0.000000
4751,(unmatched),122,0,0.000000
4753,passing,561,0,0.000000
4758,passing,986,0,0.000000
4760,hidden,58,0,0.000000
4763,low,11,0,0.000000
4765,passing,11,0,0.000000
4766,low,121,0,0.000000
4768,passing,1227,0,0.000000
4770,killer,1365,0,0.000000
4772,killer,318,0,0.000000
4774,passing,231,4,0.017316
4775,passing,42,0,0.000000
4777,passing,21,4,0.190476
4781,hidden,23,0,0.000000
4786,passing,124,0,0.000000
4789,low,7,0,0.000000
4792,low,82,0,0.000000
4794,low,237,0,0.000000
4795,killer,7,0,0.000000
4797,low,53,0,0.000000
4802,passing,324,0,0.000000
4808,(unmatched),7,0,0.000000
4813,killer,72,0,0.000000
4818,low,22,0,0.000000
4819,low,195,4,0.020513
4825,low,135,4,0.029630
4828,(unmatched),7,0,0.000000
4833,low,4,0,0.000000
4834,low,11,0,0.000000
4835,low,156,0,0.000000
4840,passing,398,0,0.000000
4844,passing,185,0,0.000000
4852,low,107,0,0.000000
4853,(unmatched),40,0,0.000000
4854,low,107,0,0.000000
4855,passing,234,0,0.000000
4858,(unmatched),7,0,0.000000
4860,low,7,0,0.000000
4867,passing,672,4,0.005952
4868,passing,152,0,0.000000
4873,low,25,0,0.000000
4874,(unmatched),157,0,0.000000
4875,low,19,0,0.000000
4876,low,18,0,0.000000
4877,passing,125,0,0.000000
4882,hidden,32,0,0.000000
4885,low,22,0,0.000000
4889,hidden,7,0,0.000000
4892,hidden,36,0,0.000000
4896,killer,674,4,0.005935
4898,passing,528,0,0.000000
4899,killer,229,0,0.000000
4902,low,40,0,0.000000
4909,passing,192,0,0.000000
4913,low,44,0,0.000000
4915,passing,259,0,0.000000
4919,low,138,0,0.000000
4922,(unmatched),4,0,0.000000
4925,low,19,0,0.000000
4926,killer,47,0,0.000000
4927,passing,123,0,0.000000
4931,low,8,0,0.000000
4936,low,4,0,0.000000
4938,low,44,0,0.000000
4940,hidden,11,0,0.000000
4950,hidden,40,0,0.000000
4951,low,364,0,0.000000
4958,(unmatched),212,0,0.000000
4959,killer,68,0,0.000000
4961,passing,1326,0,0.000000
4964,passing,460,0,0.000000
4966,low,8,0,0.000000
4967,low,7,0,0.000000
4970,hidden,39,0,0.000000
4971,hidden,117,0,0.000000
4972,killer,38,0,0.000000
4976,low,15,0,0.000000
4977,low,86,0,0.000000
4980,low,75,0,0.000000
4981,hidden,4,0,0.000000
4983,low,89,0,0.000000
4985,hidden,11,0,0.000000
4988,hidden,127,0,0.000000
4989,passing,155,0,0.000000
4992,low,62,0,0.000000
4994,low,18,0,0.000000
4995,passing,33,0,0.000000
4996,low,7,0,0.000000
4997,low,32,0,0.000000
4999,low,46,0,0.000000
5005,low,107,7,0.065421
5009,passing,181,0,0.000000
5010,low,29,0,0.000000
5011,killer,165,0,0.000000
5017,hidden,102,0,0.000000
5021,low,8,0,0.000000
5022,passing,18,0,0.000000
5023,low,7,0,0.000000
5028,low,14,0,0.000000
5031,low,76,0,0.000000
5032,passing,26,0,0.000000
5033,low,15,0,0.000000
5035,low,661,0,0.000000
5037,(unmatched),102,0,0.000000
5041,low,19,0,0.000000
5042,passing,22,0,0.000000
5043,killer,22,0,0.000000
5044,passing,1139,0,0.000000
5045,low,75,0,0.000000
5046,hidden,8,0,0.000000
5048,(unmatched),89,0,0.000000
5053,passing,4930,8,0.001623
5055,hidden,36,0,0.000000
5056,hidden,32,0,0.000000
5057,low,138,0,0.000000
5060,passing,83,0,0.000000
5061,passing,87,0,0.000000
5062,passing,531,0,0.000000
5067,passing,649,0,0.000000
5068,passing,238,0,0.000000
5073,passing,174,0,0.000000
5074,hidden,26,0,0.000000
5075,killer,2457,14,0.005698
5076,passing,68,0,0.000000
5077,low,51,0,0.000000
5078,hidden,7,0,0.000000
5079,(unmatched),23,0,0.000000
5084,passing,909,0,0.000000
5085,low,242,0,0.000000
5087,(unmatched),19,0,0.000000
5090,low,226,0,0.000000
5093,low,4,0,0.000000
5095,low,29,0,0.000000
5097,(unmatched),770,0,0.000000
5099,killer,188,0,0.000000
5100,passing,1133,0,0.000000
5108,(unmatched),41,0,0.000000
5110,passing,136,4,0.029412
5113,passing,55,0,0.000000
5115,low,59,0,0.000000
5116,low,102,0,0.000000
5117,hidden,11,0,0.000000
5118,low,12,4,0.333333
5119,passing,8,0,0.000000
5120,passing,391,8,0.020460
5121,hidden,8,0,0.000000
5122,killer,125,0,0.000000
5128,passing,296,0,0.000000
5130,passing,285,0,0.000000
5137,low,4,0,0.000000
5138,low,21,0,0.000000
5139,(unmatched),122,0,0.000000
5141,low,14,0,0.000000
5143,passing,154,0,0.000000
5145,low,85,0,0.000000
5148,killer,104,0,0.000000
5150,passing,11,0,0.000000
5151,low,11,0,0.000000
5154,passing,110,0,0.000000
5156,(unmatched),56,0,0.000000
5161,passing,86,0,0.000000
5163,low,53,0,0.000000
5164,passing,860,4,0.004651
5165,low,8,0,0.000000
5167,passing,18,0,0.000000
5169,hidden,4,0,0.000000
5170,(unmatched),48,0,0.000000
5171,low,18,0,0.000000
5174,low,22,0,0.000000
5175,passing,8,0,0.000000
5176,(unmatched),264,0,0.000000
5178,passing,75,0,0.000000
5179,low,103,0,0.000000
5184,passing,22,0,0.000000
5185,low,11,0,0.000000
5187,killer,86,0,0.000000
5200,(unmatched),14,0,0.000000
5201,passing,188,0,0.000000
5202,low,18,0,0.000000
5203,passing,19,0,0.000000
5204,passing,459,0,0.000000
5206,passing,107,0,0.000000
5211,low,33,0,0.000000
5212,(unmatched),22,0,0.000000
5213,(unmatched),897,0,0.000000
5214,passing,136,0,0.000000
5215,low,4,0,0.000000
5220,low,12,0,0.000000
5222,low,61,0,0.000000
5223,passing,33186,39,0.001175
5225,(unmatched),4,0,0.000000
5226,low,39,0,0.000000
5231,low,18,0,0.000000
5233,killer,106,4,0.037736
5239,low,4,0,0.000000
5241,hidden,4,0,0.000000
5243,hidden,18,0,0.000000
5245,passing,32,0,0.000000
5247,hidden,11,0,0.000000
5248,(unmatched),4,0,0.000000
5249,passing,8,0,0.000000
5252,passing,22,0,0.000000
5256,low,82,0,0.000000
5257,passing,64,0,0.000000
5261,low,41,0,0.000000
5262,passing,36,0,0.000000
5263,passing,909,0,0.000000
5266,passing,147,0,0.000000
5267,passing,498,0,0.000000
5268,(unmatched),7,0,0.000000
5271,low,14,0,0.000000
5276,passing,3315,7,0.002112
5278,low,25,0,0.000000
5280,low,4,0,0.000000
5282,low,56,0,0.000000
5286,hidden,60,0,0.000000
5289,low,54,0,0.000000
5291,low,15,0,0.000000
5294,passing,693,0,0.000000
5295,low,8,0,0.000000
5297,low,16,0,0.000000
5299,low,18,0,0.000000
5300,low,7,0,0.000000
5301,low,11,0,0.000000
5302,low,30,0,0.000000
5304,low,12,0,0.000000
5305,killer,555,4,0.007207
5308,low,41,0,0.000000
5309,low,18,0,0.000000
5310,passing,194,0,0.000000
5314,low,15,0,0.000000
5317,passing,778,4,0.005141
5321,low,106,0,0.000000
5323,(unmatched),8,0,0.000000
5324,low,32,0,0.000000
5325,passing,427,4,0.009368
5326,passing,223,0,0.000000
5328,(unmatched),4,0,0.000000
5330,low,4,0,0.000000
5332,killer,262,0,0.000000
5340,low,32,0,0.000000
5343,passing,109,0,0.000000
5351,low,52,0,0.000000
5352,low,74,0,0.000000
5353,passing,1153,0,0.000000
5355,low,8,0,0.000000
5357,passing,279,0,0.000000
5358,passing,8,0,0.000000
5359,passing,187,0,0.000000
5362,passing,783,4,0.005109
5372,passing,101,8,0.079208
5376,passing,83,0,0.000000
5377,low,356,0,0.000000
5379,killer,117,0,0.000000
5380,hidden,11,0,0.000000
5381,low,7,0,0.000000
5382,low,12,0,0.000000
5384,passing,51,0,0.000000
5386,passing,3066,0,0.000000
