rank,blog_code,category,impressions,clicks,ctr
106,12880,unmatched:unpublished(404 likely),422,7,0.016588
107,3781,travel:killer,671,11,0.016393
108,14329,unmatched:unpublished(404 likely),435,7,0.016092
109,13241,unmatched:unpublished(404 likely),684,11,0.016082
110,10687,unmatched:unpublished(404 likely),691,11,0.015919
111,6222,travel:passing,252,4,0.015873
112,14645,unmatched:unpublished(404 likely),694,11,0.015850
113,8785,unmatched:unpublished(404 likely),253,4,0.015810
114,10084,unmatched:unpublished(404 likely),255,4,0.015686
115,13491,unmatched:unpublished(404 likely),256,4,0.015625
116,12735,unmatched:unpublished(404 likely),258,4,0.015504
117,14518,unmatched:unpublished(404 likely),258,4,0.015504
118,13728,unmatched:unpublished(404 likely),259,4,0.015444
119,10604,unmatched:unpublished(404 likely),260,4,0.015385
120,867,travel:killer,262,4,0.015267
121,7936,unmatched:unpublished(404 likely),263,4,0.015209
122,14616,unmatched:unpublished(404 likely),263,4,0.015209
123,4728,travel:passing,1012,15,0.014822
124,14705,unmatched:unpublished(404 likely),270,4,0.014815
125,9566,unmatched:unpublished(404 likely),273,4,0.014652
126,14133,unmatched:unpublished(404 likely),274,4,0.014599
127,14502,unmatched:unpublished(404 likely),274,4,0.014599
128,4647,travel:killer,483,7,0.014493
129,13527,unmatched:unpublished(404 likely),556,8,0.014388
130,13536,unmatched:unpublished(404 likely),488,7,0.014344
131,10912,unmatched:unpublished(404 likely),280,4,0.014286
132,14763,unmatched:unpublished(404 likely),986,14,0.014199
133,13882,unmatched:unpublished(404 likely),283,4,0.014134
134,9997,unmatched:unpublished(404 likely),289,4,0.013841
135,13777,unmatched:unpublished(404 likely),292,4,0.013699
136,12579,unmatched:unpublished(404 likely),595,8,0.013445
137,5538,travel:passing,1342,18,0.013413
138,14954,unmatched:unpublished(404 likely),1367,18,0.013168
139,13244,unmatched:unpublished(404 likely),310,4,0.012903
140,7376,unmatched:unpublished(404 likely),1199,15,0.012510
141,14206,unmatched:unpublished(404 likely),322,4,0.012422
142,14611,unmatched:unpublished(404 likely),323,4,0.012384
143,385,travel:passing,325,4,0.012308
144,14216,unmatched:unpublished(404 likely),331,4,0.012085
145,10293,unmatched:unpublished(404 likely),583,7,0.012007
146,9513,unmatched:unpublished(404 likely),340,4,0.011765
147,2041,travel:passing,686,8,0.011662
148,6269,travel:passing,343,4,0.011662
149,13822,unmatched:unpublished(404 likely),613,7,0.011419
150,14404,unmatched:unpublished(404 likely),1242,14,0.011272
151,5500,travel:low,1962,22,0.011213
152,8860,unmatched:unpublished(404 likely),358,4,0.011173
153,14547,unmatched:unpublished(404 likely),2436,27,0.011084
154,13887,unmatched:unpublished(404 likely),365,4,0.010959
155,14386,unmatched:unpublished(404 likely),367,4,0.010899
156,13992,unmatched:unpublished(404 likely),749,8,0.010681
157,14907,unmatched:unpublished(404 likely),376,4,0.010638
158,5655,travel:passing,2757,29,0.010519
159,327,travel:killer,382,4,0.010471
160,6307,travel:passing,1146,12,0.010471
161,12033,unmatched:unpublished(404 likely),386,4,0.010363
162,2692,travel:passing,390,4,0.010256
163,14239,unmatched:unpublished(404 likely),394,4,0.010152
164,836,travel:passing,795,8,0.010063
165,1603,travel:killer,399,4,0.010025
166,4511,travel:passing,400,4,0.010000
167,1525,travel:passing,1807,18,0.009961
168,14605,unmatched:unpublished(404 likely),1112,11,0.009892
169,8743,unmatched:unpublished(404 likely),405,4,0.009877
170,8089,unmatched:unpublished(404 likely),3044,30,0.009855
171,14391,unmatched:unpublished(404 likely),414,4,0.009662
172,13044,unmatched:unpublished(404 likely),415,4,0.009639
173,4457,travel:passing,834,8,0.009592
174,11869,unmatched:unpublished(404 likely),419,4,0.009547
175,10394,unmatched:unpublished(404 likely),420,4,0.009524
176,14480,unmatched:unpublished(404 likely),1173,11,0.009378
177,3591,travel:killer,427,4,0.009368
178,5325,travel:passing,428,4,0.009346
179,11092,unmatched:unpublished(404 likely),430,4,0.009302
180,13375,unmatched:unpublished(404 likely),435,4,0.009195
181,11851,unmatched:unpublished(404 likely),450,4,0.008889
182,13326,unmatched:unpublished(404 likely),2035,18,0.008845
183,13736,unmatched:unpublished(404 likely),455,4,0.008791
184,14267,unmatched:unpublished(404 likely),468,4,0.008547
185,2551,travel:passing,472,4,0.008475
186,14590,unmatched:unpublished(404 likely),475,4,0.008421
187,9500,unmatched:unpublished(404 likely),491,4,0.008147
188,13729,unmatched:unpublished(404 likely),984,8,0.008130
189,11180,unmatched:unpublished(404 likely),495,4,0.008081
190,11403,unmatched:unpublished(404 likely),502,4,0.007968
191,13755,unmatched:unpublished(404 likely),1004,8,0.007968
192,14649,unmatched:unpublished(404 likely),504,4,0.007937
193,3759,travel:killer,510,4,0.007843
194,13309,unmatched:unpublished(404 likely),510,4,0.007843
195,5483,travel:passing,511,4,0.007828
196,6945,travel:passing,517,4,0.007737
197,6795,unmatched:published(non-travel),520,4,0.007692
198,13218,unmatched:unpublished(404 likely),523,4,0.007648
199,2657,travel:passing,524,4,0.007634
200,3561,travel:killer,527,4,0.007590
201,14465,unmatched:unpublished(404 likely),1061,8,0.007540
202,13498,unmatched:unpublished(404 likely),2012,15,0.007455
203,14499,unmatched:unpublished(404 likely),542,4,0.007380
204,1822,travel:passing,551,4,0.007260
205,14920,unmatched:unpublished(404 likely),551,4,0.007260
206,5305,travel:killer,555,4,0.007207
207,12271,unmatched:unpublished(404 likely),555,4,0.007207
208,2384,travel:passing,556,4,0.007194
209,7452,unmatched:unpublished(404 likely),559,4,0.007156
210,14532,unmatched:unpublished(404 likely),560,4,0.007143
211,9740,unmatched:unpublished(404 likely),576,4,0.006944
212,14537,unmatched:unpublished(404 likely),580,4,0.006897
213,11157,unmatched:unpublished(404 likely),583,4,0.006861
214,12580,unmatched:unpublished(404 likely),589,4,0.006791
215,13429,unmatched:unpublished(404 likely),591,4,0.006768
216,2847,travel:passing,1799,12,0.006670
217,10792,unmatched:unpublished(404 likely),603,4,0.006633
218,14198,unmatched:unpublished(404 likely),1688,11,0.006517
219,12643,unmatched:unpublished(404 likely),622,4,0.006431
220,14726,unmatched:unpublished(404 likely),633,4,0.006319
221,14029,unmatched:unpublished(404 likely),634,4,0.006309
222,158,travel:passing,1311,8,0.006102
223,14879,unmatched:unpublished(404 likely),660,4,0.006061
224,11694,unmatched:unpublished(404 likely),1333,8,0.006002
225,14936,unmatched:unpublished(404 likely),1173,7,0.005968
226,4896,travel:killer,675,4,0.005926
227,4867,travel:passing,676,4,0.005917
228,852,travel:killer,686,4,0.005831
229,1491,travel:passing,2067,12,0.005806
230,4318,travel:passing,693,4,0.005772
231,12861,unmatched:unpublished(404 likely),693,4,0.005772
232,5075,travel:killer,2461,14,0.005689
233,4620,unmatched:published(non-travel),705,4,0.005674
234,4468,travel:passing,1995,11,0.005514
235,14473,unmatched:unpublished(404 likely),726,4,0.005510
236,5797,travel:passing,2759,15,0.005437
237,14283,unmatched:unpublished(404 likely),740,4,0.005405
238,14274,unmatched:unpublished(404 likely),742,4,0.005391
239,938,travel:killer,760,4,0.005263
240,5317,travel:passing,779,4,0.005135
241,13749,unmatched:unpublished(404 likely),779,4,0.005135
242,5362,travel:passing,788,4,0.005076
243,14764,unmatched:unpublished(404 likely),788,4,0.005076
244,9563,unmatched:unpublished(404 likely),1594,8,0.005019
245,13651,unmatched:unpublished(404 likely),801,4,0.004994
246,11593,unmatched:unpublished(404 likely),817,4,0.004896
247,7496,unmatched:unpublished(404 likely),830,4,0.004819
248,4686,travel:passing,834,4,0.004796
249,14949,unmatched:unpublished(404 likely),3763,18,0.004783
250,14342,unmatched:unpublished(404 likely),849,4,0.004711
251,4199,travel:passing,857,4,0.004667
252,14552,unmatched:unpublished(404 likely),857,4,0.004667
253,5164,travel:passing,860,4,0.004651
254,14493,unmatched:unpublished(404 likely),1757,8,0.004553
255,14240,unmatched:unpublished(404 likely),3342,15,0.004488
256,14320,unmatched:unpublished(404 likely),895,4,0.004469
257,1925,travel:passing,908,4,0.004405
258,3452,travel:passing,920,4,0.004348
259,3001,travel:passing,2793,12,0.004296
260,14265,unmatched:unpublished(404 likely),938,4,0.004264
261,8390,unmatched:unpublished(404 likely),976,4,0.004098
262,1399,travel:passing,1715,7,0.004082
263,14357,unmatched:unpublished(404 likely),4025,16,0.003975
264,14826,unmatched:unpublished(404 likely),3805,15,0.003942
265,14878,unmatched:unpublished(404 likely),2841,11,0.003872
266,5565,travel:passing,1811,7,0.003865
267,14287,unmatched:unpublished(404 likely),2072,8,0.003861
268,12857,unmatched:unpublished(404 likely),1053,4,0.003799
269,13957,unmatched:unpublished(404 likely),1055,4,0.003791
270,14381,unmatched:unpublished(404 likely),1065,4,0.003756
271,1435,travel:passing,1068,4,0.003745
272,8234,unmatched:unpublished(404 likely),1142,4,0.003503
273,14044,unmatched:unpublished(404 likely),2286,8,0.003500
274,2527,travel:passing,1213,4,0.003298
275,8314,unmatched:unpublished(404 likely),1216,4,0.003289
276,12713,unmatched:unpublished(404 likely),5813,19,0.003269
277,5604,travel:passing,2214,7,0.003162
278,14397,unmatched:unpublished(404 likely),1290,4,0.003101
279,14393,unmatched:unpublished(404 likely),2264,7,0.003092
280,810,travel:passing,4903,15,0.003059
281,14233,unmatched:unpublished(404 likely),1310,4,0.003053
282,9355,unmatched:unpublished(404 likely),1315,4,0.003042
283,5619,travel:passing,1328,4,0.003012
284,1796,travel:passing,1332,4,0.003003
285,4429,unmatched:published(non-travel),1362,4,0.002937
286,4477,unmatched:published(non-travel),1362,4,0.002937
287,11676,unmatched:unpublished(404 likely),1391,4,0.002876
288,13656,unmatched:unpublished(404 likely),1420,4,0.002817
289,14454,unmatched:unpublished(404 likely),2500,7,0.002800
290,11826,unmatched:unpublished(404 likely),1479,4,0.002705
291,10949,unmatched:unpublished(404 likely),2970,8,0.002694
292,14665,unmatched:unpublished(404 likely),1486,4,0.002692
293,8890,unmatched:unpublished(404 likely),1505,4,0.002658
294,3613,travel:passing,1632,4,0.002451
295,4689,travel:passing,1671,4,0.002394
296,11583,unmatched:unpublished(404 likely),3004,7,0.002330
297,9469,unmatched:unpublished(404 likely),4725,11,0.002328
298,8616,unmatched:unpublished(404 likely),1744,4,0.002294
299,1740,travel:passing,3076,7,0.002276
300,14716,unmatched:unpublished(404 likely),3597,8,0.002224
301,5276,travel:passing,3318,7,0.002110
302,14382,unmatched:unpublished(404 likely),1904,4,0.002101
303,14666,unmatched:unpublished(404 likely),1952,4,0.002049
304,4572,travel:passing,1964,4,0.002037
305,319,travel:passing,3930,8,0.002036
306,14439,unmatched:unpublished(404 likely),3461,7,0.002023
307,2351,travel:passing,1986,4,0.002014
308,8543,unmatched:unpublished(404 likely),5548,11,0.001983
309,703,travel:passing,4327,8,0.001849
310,12640,unmatched:unpublished(404 likely),3820,7,0.001832
311,5053,travel:passing,4942,8,0.001619
312,6763,unmatched:published(non-travel),2656,4,0.001506
313,14349,unmatched:unpublished(404 likely),2688,4,0.001488
314,14348,unmatched:unpublished(404 likely),2696,4,0.001484
315,14597,unmatched:unpublished(404 likely),2700,4,0.001481
316,4723,travel:passing,5796,8,0.001380
317,13452,unmatched:unpublished(404 likely),7986,11,0.001377
318,13737,unmatched:unpublished(404 likely),3049,4,0.001312
319,5223,travel:passing,33253,39,0.001173
320,13217,unmatched:unpublished(404 likely),4250,4,0.000941
321,1696,travel:passing,8994,7,0.000778
322,13065,unmatched:unpublished(404 likely),11221,8,0.000713
323,14398,unmatched:unpublished(404 likely),6046,4,0.000662
324,2,travel:killer,2295,0,0.000000
325,3,travel:hidden,62,0,0.000000
326,4,travel:passing,64,0,0.000000
327,14,travel:passing,181,0,0.000000
328,70,travel:passing,97,0,0.000000
329,76,travel:hidden,142,0,0.000000
330,86,travel:hidden,357,0,0.000000
331,125,travel:hidden,212,0,0.000000
332,164,travel:passing,2168,0,0.000000
333,216,travel:killer,317,0,0.000000
334,304,travel:passing,90,0,0.000000
335,316,unmatched:published(non-travel),168,0,0.000000
336,347,travel:passing,2755,0,0.000000
337,407,travel:passing,130,0,0.000000
338,414,travel:passing,4368,0,0.000000
339,429,unmatched:published(non-travel),550,0,0.000000
340,465,travel:killer,569,0,0.000000
341,470,travel:passing,652,0,0.000000
342,507,travel:killer,172,0,0.000000
343,513,unmatched:published(non-travel),152,0,0.000000
344,517,travel:passing,146,0,0.000000
345,545,travel:killer,83,0,0.000000
346,662,travel:passing,1147,0,0.000000
347,675,travel:killer,327,0,0.000000
348,682,travel:passing,600,0,0.000000
349,696,unmatched:unpublished(404 likely),267,0,0.000000
350,724,travel:passing,1083,0,0.000000
351,754,travel:low,53,0,0.000000
352,756,travel:hidden,160,0,0.000000
353,762,unmatched:published(non-travel),71,0,0.000000
354,778,travel:hidden,181,0,0.000000
355,781,travel:killer,520,0,0.000000
356,798,travel:passing,352,0,0.000000
357,823,travel:low,127,0,0.000000
358,825,travel:hidden,195,0,0.000000
359,839,travel:passing,261,0,0.000000
360,860,travel:low,111,0,0.000000
361,902,travel:passing,417,0,0.000000
362,923,travel:passing,185,0,0.000000
363,963,travel:passing,1871,0,0.000000
364,974,travel:low,124,0,0.000000
365,975,travel:killer,161,0,0.000000
366,990,travel:killer,182,0,0.000000
367,993,travel:killer,277,0,0.000000
368,996,travel:hidden,125,0,0.000000
369,999,travel:hidden,142,0,0.000000
370,1037,travel:passing,115,0,0.000000
371,1041,travel:passing,253,0,0.000000
372,1047,travel:low,181,0,0.000000
373,1052,travel:passing,727,0,0.000000
374,1074,unmatched:published(non-travel),295,0,0.000000
375,1085,travel:passing,175,0,0.000000
376,1088,travel:killer,76,0,0.000000
377,1116,travel:passing,661,0,0.000000
378,1154,travel:hidden,61,0,0.000000
379,1240,travel:killer,189,0,0.000000
380,1310,travel:low,93,0,0.000000
381,1366,travel:passing,251,0,0.000000
382,1374,unmatched:published(non-travel),188,0,0.000000
383,1378,travel:killer,136,0,0.000000
384,1401,travel:hidden,64,0,0.000000
385,1422,travel:killer,227,0,0.000000
386,1431,travel:passing,497,0,0.000000
387,1447,travel:hidden,72,0,0.000000
388,1449,travel:hidden,57,0,0.000000
389,1458,travel:killer,85,0,0.000000
390,1466,travel:passing,200,0,0.000000
391,1493,travel:passing,778,0,0.000000
392,1505,travel:passing,1516,0,0.000000
393,1507,travel:hidden,113,0,0.000000
394,1515,travel:passing,57,0,0.000000
395,1532,unmatched:published(non-travel),417,0,0.000000
396,1534,travel:passing,348,0,0.000000
397,1537,travel:hidden,50,0,0.000000
398,1552,travel:hidden,131,0,0.000000
399,1556,travel:passing,744,0,0.000000
400,1558,unmatched:published(non-travel),124,0,0.000000
401,1565,travel:hidden,65,0,0.000000
402,1570,travel:passing,750,0,0.000000
403,1665,travel:passing,647,0,0.000000
404,1668,travel:passing,103,0,0.000000
405,1747,travel:passing,237,0,0.000000
406,1759,travel:passing,1672,0,0.000000
407,1769,travel:passing,601,0,0.000000
408,1775,travel:passing,1838,0,0.000000
409,1790,travel:passing,170,0,0.000000
410,1802,travel:hidden,205,0,0.000000
411,1813,travel:passing,241,0,0.000000
412,1848,travel:passing,156,0,0.000000
413,1851,unmatched:published(non-travel),59,0,0.000000
414,1870,travel:passing,131,0,0.000000
415,1876,travel:low,53,0,0.000000
416,1902,travel:passing,145,0,0.000000
417,1917,travel:passing,597,0,0.000000
418,1940,travel:passing,518,0,0.000000
419,1946,travel:passing,114,0,0.000000
420,1951,travel:passing,817,0,0.000000
421,1952,travel:passing,687,0,0.000000
422,1962,travel:passing,251,0,0.000000
423,1984,travel:low,86,0,0.000000
424,1993,travel:low,93,0,0.000000
425,2002,travel:passing,1429,0,0.000000
426,2020,travel:low,120,0,0.000000
427,2030,travel:passing,2163,0,0.000000
428,2043,travel:passing,1331,0,0.000000
429,2044,travel:low,50,0,0.000000
430,2049,unmatched:published(non-travel),75,0,0.000000
431,2052,travel:passing,118,0,0.000000
432,2071,travel:low,88,0,0.000000
433,2075,unmatched:published(non-travel),131,0,0.000000
434,2077,travel:passing,1062,0,0.000000
435,2091,travel:passing,93,0,0.000000
436,2103,travel:passing,239,0,0.000000
437,2166,travel:passing,881,0,0.000000
438,2175,travel:killer,95,0,0.000000
439,2186,travel:hidden,71,0,0.000000
440,2211,travel:passing,87,0,0.000000
441,2225,travel:hidden,96,0,0.000000
442,2230,travel:hidden,87,0,0.000000
443,2237,travel:low,199,0,0.000000
444,2245,travel:passing,215,0,0.000000
445,2257,travel:low,65,0,0.000000
446,2276,travel:low,166,0,0.000000
447,2294,unmatched:published(non-travel),71,0,0.000000
448,2302,travel:passing,177,0,0.000000
449,2304,travel:low,212,0,0.000000
450,2309,travel:passing,441,0,0.000000
451,2319,travel:passing,292,0,0.000000
452,2348,travel:hidden,60,0,0.000000
453,2360,travel:passing,246,0,0.000000
454,2381,travel:hidden,74,0,0.000000
455,2393,travel:passing,106,0,0.000000
456,2398,travel:passing,468,0,0.000000
457,2412,travel:passing,908,0,0.000000
458,2418,travel:killer,440,0,0.000000
459,2429,travel:hidden,96,0,0.000000
460,2445,travel:passing,379,0,0.000000
461,2446,travel:passing,178,0,0.000000
462,2452,travel:low,202,0,0.000000
463,2455,travel:hidden,132,0,0.000000
464,2462,travel:passing,159,0,0.000000
465,2464,travel:killer,55,0,0.000000
466,2468,travel:passing,82,0,0.000000
467,2476,travel:passing,152,0,0.000000
468,2487,travel:passing,1966,0,0.000000
469,2492,travel:passing,142,0,0.000000
470,2505,unmatched:published(non-travel),239,0,0.000000
471,2514,travel:passing,498,0,0.000000
472,2528,travel:killer,493,0,0.000000
473,2532,travel:killer,171,0,0.000000
474,2544,travel:passing,98,0,0.000000
475,2552,travel:hidden,55,0,0.000000
476,2561,travel:passing,1370,0,0.000000
477,2562,travel:passing,193,0,0.000000
478,2563,travel:killer,460,0,0.000000
479,2568,travel:killer,785,0,0.000000
480,2587,travel:passing,88,0,0.000000
481,2600,travel:passing,483,0,0.000000
482,2602,travel:passing,389,0,0.000000
483,2607,travel:passing,578,0,0.000000
484,2612,travel:killer,201,0,0.000000
485,2627,travel:killer,556,0,0.000000
486,2654,unmatched:published(non-travel),84,0,0.000000
487,2655,travel:killer,50,0,0.000000
488,2663,unmatched:published(non-travel),294,0,0.000000
489,2684,travel:killer,61,0,0.000000
490,2688,unmatched:published(non-travel),309,0,0.000000
491,2690,unmatched:published(non-travel),196,0,0.000000
492,2695,travel:passing,294,0,0.000000
493,2746,travel:killer,94,0,0.000000
494,2784,travel:passing,54,0,0.000000
495,2799,travel:passing,162,0,0.000000
496,2801,travel:killer,229,0,0.000000
497,2809,unmatched:published(non-travel),120,0,0.000000
498,2829,travel:passing,293,0,0.000000
499,2836,unmatched:published(non-travel),77,0,0.000000
500,2846,travel:hidden,72,0,0.000000
501,2849,travel:passing,950,0,0.000000
502,2872,travel:killer,139,0,0.000000
503,2884,unmatched:published(non-travel),371,0,0.000000
504,2914,travel:passing,307,0,0.000000
505,2945,travel:killer,146,0,0.000000
506,2952,travel:hidden,99,0,0.000000
507,2963,unmatched:published(non-travel),303,0,0.000000
508,2969,travel:killer,166,0,0.000000
509,2995,travel:killer,154,0,0.000000
510,3003,unmatched:published(non-travel),105,0,0.000000
511,3048,travel:passing,461,0,0.000000
512,3059,travel:passing,1174,0,0.000000
513,3094,travel:killer,169,0,0.000000
514,3098,unmatched:published(non-travel),380,0,0.000000
515,3106,travel:killer,1831,0,0.000000
516,3116,travel:hidden,131,0,0.000000
517,3117,travel:passing,56,0,0.000000
518,3119,unmatched:published(non-travel),74,0,0.000000
519,3165,travel:passing,4176,0,0.000000
520,3173,travel:killer,654,0,0.000000
521,3174,unmatched:published(non-travel),218,0,0.000000
522,3196,travel:passing,530,0,0.000000
523,3310,travel:passing,998,0,0.000000
524,3401,travel:killer,887,0,0.000000
525,3406,travel:killer,51,0,0.000000
526,3502,travel:passing,464,0,0.000000
527,3592,travel:killer,310,0,0.000000
528,3600,travel:hidden,258,0,0.000000
529,3625,travel:passing,2539,0,0.000000
530,3626,travel:killer,196,0,0.000000
531,3643,travel:passing,242,0,0.000000
532,3709,travel:passing,446,0,0.000000
533,3721,travel:hidden,53,0,0.000000
534,3725,travel:passing,198,0,0.000000
535,3764,travel:hidden,103,0,0.000000
536,3768,travel:passing,606,0,0.000000
537,3782,travel:passing,177,0,0.000000
538,3818,travel:low,71,0,0.000000
539,3829,travel:killer,450,0,0.000000
540,3832,travel:passing,696,0,0.000000
541,3849,travel:killer,95,0,0.000000
542,3851,travel:hidden,148,0,0.000000
543,3899,unmatched:published(non-travel),335,0,0.000000
544,3904,travel:passing,595,0,0.000000
545,3908,unmatched:published(non-travel),154,0,0.000000
546,3909,travel:hidden,86,0,0.000000
547,3938,travel:low,205,0,0.000000
548,3951,travel:killer,625,0,0.000000
549,4001,travel:killer,297,0,0.000000
550,4024,unmatched:published(non-travel),89,0,0.000000
551,4027,travel:killer,670,0,0.000000
552,4126,travel:passing,217,0,0.000000
553,4145,travel:killer,218,0,0.000000
554,4155,travel:killer,78,0,0.000000
555,4156,travel:hidden,219,0,0.000000
556,4211,unmatched:published(non-travel),61,0,0.000000
557,4217,travel:killer,118,0,0.000000
558,4223,travel:low,57,0,0.000000
559,4233,travel:passing,72,0,0.000000
560,4238,travel:passing,151,0,0.000000
561,4239,unmatched:published(non-travel),160,0,0.000000
562,4248,travel:passing,64,0,0.000000
563,4249,unmatched:published(non-travel),322,0,0.000000
564,4251,travel:passing,281,0,0.000000
565,4256,travel:passing,109,0,0.000000
566,4258,unmatched:published(non-travel),85,0,0.000000
567,4264,travel:passing,246,0,0.000000
568,4265,travel:killer,174,0,0.000000
569,4267,travel:low,146,0,0.000000
570,4269,travel:low,152,0,0.000000
571,4274,travel:low,69,0,0.000000
572,4278,travel:passing,183,0,0.000000
573,4283,travel:passing,51,0,0.000000
574,4295,unmatched:published(non-travel),347,0,0.000000
575,4302,travel:passing,58,0,0.000000
576,4304,travel:passing,55,0,0.000000
577,4308,travel:passing,136,0,0.000000
578,4310,travel:passing,187,0,0.000000
579,4316,travel:low,61,0,0.000000
580,4325,travel:low,82,0,0.000000
581,4328,travel:hidden,129,0,0.000000
582,4346,travel:passing,147,0,0.000000
