region_id,ko,en,jp,zh-CN,zh-TW,zh-HK,th,vi,id,ru,mn,de,fr,es,it
560,전주,Jeonju,全州(チョンジュ),全州,全州,全州,ชอนจู,Jeonju,Jeonju,Чонджу,Чонжу,Jeonju,Jeonju,Jeonju,Jeonju
561,포항,Pohang,浦項(ポハン),浦项,浦項,浦項,โพฮัง,Pohang,Pohang,Пхохан,Похан,Pohang,Pohang,Pohang,Pohang
562,용인,Yongin,龍仁(ヨンイン),龙仁,龍仁,龍仁,ยงอิน,Yongin,Yongin,Йонъин,Ёнин,Yongin,Yongin,Yongin,Yongin
563,수원,Suwon,水原(スウォン),水原,水原,水原,ซูวอน,Suwon,Suwon,Сувон,Сувон,Suwon,Suwon,Suwon,Suwon
564,청주,Cheongju,清州(チョンジュ),清州,淸州,淸州,ชองจู,Cheongju,Cheongju,Чхонджу,Чонжу,Cheongju,Cheongju,Cheongju,Cheongju
565,창원,Changwon,昌原(チャンウォン),昌原,昌原,昌原,ชังวอน,Changwon,Changwon,Чханвон,Чанвон,Changwon,Changwon,Changwon,Changwon
566,고양,Goyang,高陽(コヤン),高阳,高陽,高陽,โกยาง,Goyang,Goyang,Коян,Гоян,Goyang,Goyang,Goyang,Goyang
567,안산,Ansan,安山(アンサン),安山,安山,安山,อันซาน,Ansan,Ansan,Ансан,Ансан,Ansan,Ansan,Ansan,Ansan
568,성남,Seongnam,城南(ソンナム),城南,城南,城南,ซองนัม,Seongnam,Seongnam,Соннам,Соннам,Seongnam,Seongnam,Seongnam,Seongnam
569,대학로,Daehangno,大学路(テハンノ),大学路,大學路,大學路,แดฮังโน,Daehangno,Daehangno,Тэханно,Тэханно,Daehangno,Daehangno,Daehangno,Daehangno
