region,구분,스팟수,구(스팟많은순),동(스팟많은순)
인사동,신규,48,"종로구, 중구","관훈동, 인사동, 공평동, 수표동, 계동, 돈의동, 원서동, 명동2가, 낙원동, 관철동, 관수동"
인천공항,신규,38,"중구, 마포구, 강남구, 고양시 덕양구, 광진구","운서동, 덕교동, 남북동, 동교동, 역삼동, 지축동, 남산동2가, 자양동, 충무로1가"
전포,신규,4,부산진구,전포동
창덕궁,신규,6,종로구,"와룡동, 운니동"
청량리,신규,16,"동대문구, 성북구","전농동, 용두동, 안암동5가, 청량리동, 제기동"
충무로,신규,61,"중구, 수원시 팔달구, 종로구","충무로3가, 필동1가, 충무로4가, 필동2가, 충무로2가, 필동3가, 저동2가, 을지로3가, 초동, 충무로5가, 인계동, 청진동, 신당동, 충무로1가"
합정,신규,16,마포구,"서교동, 합정동"
전주,특례시,-,"완산구, 덕진구",(시 전체 법정동)
포항,특례시,-,"남구, 북구",(시 전체 법정동)
용인,특례시,-,"처인구, 기흥구, 수지구",(시 전체 법정동)
수원,특례시,-,"장안구, 권선구, 팔달구, 영통구",(시 전체 법정동)
청주,특례시,-,"상당구, 서원구, 흥덕구, 청원구",(시 전체 법정동)
창원,특례시,-,"의창구, 성산구, 마산합포구, 마산회원구, 진해구",(시 전체 법정동)
고양,특례시,-,"덕양구, 일산동구, 일산서구",(시 전체 법정동)
안산,특례시,-,"상록구, 단원구",(시 전체 법정동)
성남,특례시,-,"수정구, 중원구, 분당구",(시 전체 법정동)
